"Subject", "件名"
"Content", "内容"
"Template", "テンプレート"
"Template Id", "テンプレートID"
"Template name", "テンプレート名"
"Message Centre", "メッセージセンター"
"Message Information", "メッセージ情報"
"CRM message couldn't be sent to the client", "CRMメッセージをこの顧客に送信できませんでした"
"CRM template couldn't be saved to the database", "CRMテンプレートをデータベースに保存できませんでした"
"CRM template has succesfully been saved to the database", "CRMテンプレートをデータベースに保存しました"
"CRM template couldn't be deleted from the database", "CRMテンプレートをデータベースから削除できませんでした"
"CRM template has been succesfully deleted from the database", "CRMテンプレートをデータベースから削除しました"
"CRM template name allready exists", "CRMテンプレート名が既に存在しています"
"Refresh Page", "ページ更新"
"Load Template", "テンプレート読み込み"
"Save Template", "テンプレート保存"
"Delete Template", "テンプレート削除"
"Save as New Template", "新しいテンプレートとして保存"
"Load default Message", "標準のメッセージを読み込む"
"Show / Hide Editor", "エディタ表示 / 非表示"
"The CRM module is part of the Cart2Quote Enterprise version. <a href='%s' target='blank'>Upgrade or change to a paid plan</a> to unlock more features", "CRMモジュールはCart2Quoteエンタープライズバージョンの一部です。 機能制限を解除するには、<a href='%s' target='blank'>ご利用プランの変更</a>を行ってください。
"To use the CRM module of Cart2Quote and send messages to your customers <a href='%s' target='blank'>upgrade</a> to Cart2Quote Enterprise", "Cart2QuoteのCRMモジュールを使用して顧客にメッセージを送信するには、Cart2Quoteエンタープライズバージョンに<a href='%s' target='blank'>アップグレード</a>してください。"
"Enable / disable advanced quote extension","拡張見積エクステンションを有効/無効にする"
"Beta features","開発中機能"
"License key","ライセンスキー"

